time,battery,phases,p_batt
1704207002,house,B,-5.0
1704207002,school,ABC,-100.0
1704207032,house,B,-5.0
1704207032,school,ABC,-100.0
1704207062,house,B,-5.0
1704207062,school,ABC,-100.0
1704207092,house,B,-5.0
1704207092,school,ABC,-100.0
1704207122,house,B,-5.0
1704207122,school,ABC,-100.0
1704207152,house,B,-5.0
1704207152,school,ABC,-100.0
1704207182,house,B,-5.0
1704207182,school,ABC,-100.0
1704207212,house,B,-5.0
1704207212,school,ABC,-100.0
1704207242,house,B,-5.0
1704207242,school,ABC,-100.0
1704207272,house,B,-5.0
1704207272,school,ABC,-100.0
1704207302,house,B,-5.0
1704207302,school,ABC,-100.0
1704207332,house,B,-5.0
1704207332,school,ABC,-100.0
1704207362,house,B,-5.0
1704207362,school,ABC,-100.0
1704207392,house,B,-5.0
1704207392,school,ABC,-100.0
1704207002,battery2,ABC,0.0
1704207002,battery4,ABC,1.5191695639469428e-14
1704207002,battery3,ABC,-90.95786789800023
1704207002,battery1,ABC,-125.0
1704207002,battery5,ABC,0.0
1704207032,battery2,ABC,0.0
1704207032,battery4,ABC,-110.03476966600054
1704207032,battery3,ABC,0.0
1704207032,battery1,ABC,-125.0
1704207032,battery5,ABC,0.0
1704207062,battery2,ABC,0.0
1704207062,battery4,ABC,-111.17959040199925
1704207062,battery3,ABC,0.0
1704207062,battery1,ABC,-125.0
1704207062,battery5,ABC,0.0
1704207092,battery2,ABC,0.0
1704207092,battery4,ABC,-111.20297338599913
1704207092,battery3,ABC,0.0
1704207092,battery1,ABC,-125.0
1704207092,battery5,ABC,0.0
1704207122,battery2,ABC,0.0
1704207122,battery4,ABC,-140.96824267599982
1704207122,battery3,ABC,0.0
1704207122,battery1,ABC,-125.0
1704207122,battery5,ABC,0.0
1704207152,battery2,ABC,0.0
1704207152,battery4,ABC,-141.5723235490003
1704207152,battery3,ABC,0.0
1704207152,battery1,ABC,-125.0
1704207152,battery5,ABC,0.0
1704207182,battery2,ABC,0.0
1704207182,battery4,ABC,-144.85070704299972
1704207182,battery3,ABC,0.0
1704207182,battery1,ABC,-125.0
1704207182,battery5,ABC,0.0
1704207212,battery2,ABC,0.0
1704207212,battery4,ABC,-144.9159940510004
1704207212,battery3,ABC,0.0
1704207212,battery1,ABC,-125.0
1704207212,battery5,ABC,0.0
1704207242,battery2,ABC,0.0
1704207242,battery4,ABC,-138.91563595599914
1704207242,battery3,ABC,0.0
1704207242,battery1,ABC,-125.0
1704207242,battery5,ABC,0.0
1704207272,battery2,ABC,0.0
1704207272,battery4,ABC,-138.79632939400005
1704207272,battery3,ABC,0.0
1704207272,battery1,ABC,-125.0
1704207272,battery5,ABC,0.0
1704207302,battery2,ABC,0.0
1704207302,battery4,ABC,-135.92604125199992
1704207302,battery3,ABC,0.0
1704207302,battery1,ABC,-125.0
1704207302,battery5,ABC,0.0
1704207002,battery2,ABC,0.0
1704207002,battery4,ABC,0.0
1704207002,battery3,ABC,-90.95786789800033
1704207002,battery1,ABC,-125.0
1704207002,battery5,ABC,0.0
1704207032,battery2,ABC,0.0
1704207032,battery4,ABC,-110.03476966300032
1704207032,battery3,ABC,0.0
1704207032,battery1,ABC,-125.0
1704207032,battery5,ABC,0.0
1704207062,battery2,ABC,0.0
1704207062,battery4,ABC,-111.17959039600034
1704207062,battery3,ABC,0.0
1704207062,battery1,ABC,-125.0
1704207062,battery5,ABC,0.0
1704207092,battery2,ABC,0.0
1704207092,battery4,ABC,-111.20297338599977
1704207092,battery3,ABC,0.0
1704207092,battery1,ABC,-125.0
1704207092,battery5,ABC,0.0
1704207002,battery3,ABC,-99.99999999999964
1704207002,battery4,ABC,-2.984279490192421e-13
1704207002,battery1,ABC,-115.95786789800025
1704207002,battery5,ABC,-0.0
1704207002,battery2,ABC,-0.0
1704207032,battery3,ABC,-100.00000000000006
1704207032,battery4,ABC,-0.0
1704207032,battery1,ABC,-0.0
1704207032,battery5,ABC,-0.0
1704207032,battery2,ABC,-135.1351092890003
1704207002,battery3,ABC,-100.0
1704207002,battery1,ABC,-115.95786789800063
1704207002,battery5,ABC,0.0
1704207002,battery2,ABC,0.0
1704207002,battery4,ABC,0.0
1704207032,battery3,ABC,-0.0
1704207032,battery1,ABC,-124.99999999999997
1704207032,battery5,ABC,0.0
1704207032,battery2,ABC,0.0
1704207032,battery4,ABC,-110.135109289
1704207002,battery1,ABC,0.0
1704207002,battery5,ABC,0.0
1704207002,battery2,ABC,0.0
1704207002,battery4,ABC,-114.64047609199959
1704207002,battery3,ABC,-100.0
1704207032,battery1,ABC,-125.0
1704207032,battery5,ABC,0.0
1704207032,battery2,ABC,-110.24074800399977
1704207032,battery4,ABC,-0.0
1704207032,battery3,ABC,-0.0
1704207062,battery1,ABC,-125.0
1704207062,battery5,ABC,0.0
1704207062,battery2,ABC,-108.8767022319996
1704207062,battery4,ABC,-0.0
1704207062,battery3,ABC,-0.0
1704207092,battery1,ABC,-125.0
1704207092,battery5,ABC,0.0
1704207092,battery2,ABC,-108.86111826099967
1704207092,battery4,ABC,-0.0
1704207092,battery3,ABC,-0.0
1704207122,battery1,ABC,-125.0
1704207122,battery5,ABC,0.0
1704207122,battery2,ABC,-138.586410955
1704207122,battery4,ABC,0.0
1704207122,battery3,ABC,0.0
1704207152,battery1,ABC,-125.0
1704207152,battery5,ABC,0.0
1704207152,battery2,ABC,-138.92559261400004
1704207152,battery4,ABC,0.0
1704207152,battery3,ABC,0.0
1704207182,battery1,ABC,-125.0
1704207182,battery5,ABC,0.0
1704207182,battery2,ABC,-142.2020922820003
1704207182,battery4,ABC,0.0
1704207182,battery3,ABC,0.0
1704207002,battery2,ABC,0.0
1704207002,battery4,ABC,0.0
1704207002,battery3,ABC,-90.95786789799936
1704207002,battery1,ABC,-125.0
1704207002,battery5,ABC,0.0
1704207032,battery2,ABC,0.0
1704207032,battery4,ABC,-110.03476966599995
1704207032,battery3,ABC,0.0
1704207032,battery1,ABC,-125.0
1704207032,battery5,ABC,0.0
1704207062,battery2,ABC,0.0
1704207062,battery4,ABC,-111.17959040199959
1704207062,battery3,ABC,0.0
1704207062,battery1,ABC,-125.0
1704207062,battery5,ABC,0.0
