time,load_pv_a,load_pv_b,load_pv_c,load_pv_batt_a,load_pv_batt_b,load_pv_batt_c,status
1704207002,1171.647,1036.371,1236.162,1138.314,998.038,1202.829,optimal
1704207032,1107.093,961.724,1170.538,1073.759,923.391,1137.205,optimal
1704207062,1104.465,959.457,1167.848,1071.132,921.123,1134.514,optimal
1704207092,1104.465,959.457,1167.848,1071.132,921.123,1134.514,optimal
1704207122,1113.086,966.896,1176.672,1079.752,928.562,1143.339,optimal
1704207152,1113.086,966.896,1176.672,1079.752,928.562,1143.339,optimal
1704207182,1110.801,964.924,1174.334,1077.467,926.591,1141.000,optimal
1704207212,1110.801,964.924,1174.334,1077.467,926.591,1141.000,optimal
1704207242,1107.881,962.404,1171.345,1074.548,924.071,1138.012,optimal
1704207272,1107.881,962.404,1171.345,1074.548,924.071,1138.012,optimal
1704207302,1105.545,960.389,1168.954,1072.212,922.055,1135.620,optimal
1704207332,1105.545,960.389,1168.954,1072.212,922.055,1135.620,optimal
1704207362,1112.582,966.461,1176.157,1079.249,928.128,1142.824,optimal
1704207392,1112.582,966.461,1176.157,1079.249,928.128,1142.824,optimal
1704207002,321.041,71.986,55.729,249.055,0.000,-16.257,optimal
1704207032,332.743,78.345,63.129,254.398,-0.000,-15.215,optimal
1704207062,332.811,78.727,63.593,254.084,-0.000,-15.133,optimal
1704207092,332.824,78.734,63.601,254.089,-0.000,-15.133,optimal
1704207122,346.511,88.656,75.856,257.855,-0.000,-12.800,optimal
1704207152,346.839,88.857,76.054,257.981,-0.000,-12.804,optimal
1704207182,347.757,89.950,77.558,257.806,-0.000,-12.392,optimal
1704207212,347.792,89.972,77.579,257.820,-0.000,-12.393,optimal
1704207242,344.817,87.972,75.166,256.845,-0.000,-12.806,optimal
1704207272,344.752,87.932,75.127,256.820,-0.000,-12.805,optimal
1704207302,343.157,86.975,74.018,256.181,-0.000,-12.957,optimal
1704207002,321.041,71.986,55.729,249.055,-0.000,-16.257,optimal
1704207032,332.743,78.345,63.129,254.398,-0.000,-15.215,optimal
1704207062,332.811,78.727,63.593,254.084,-0.000,-15.133,optimal
1704207092,332.824,78.734,63.601,254.089,-0.000,-15.133,optimal
1704207002,321.041,71.986,55.729,249.055,-0.000,-16.257,optimal
1704207032,332.772,78.378,63.160,254.393,-0.000,-15.219,optimal
1704207002,321.041,71.986,55.729,249.055,-0.000,-16.257,optimal
1704207032,332.772,78.378,63.160,254.393,-0.000,-15.219,optimal
1704207002,322.153,71.547,55.057,250.606,0.000,-16.490,optimal
1704207032,334.220,78.414,62.838,255.806,-0.000,-15.576,optimal
1704207062,333.490,77.959,62.754,255.531,-0.000,-15.204,optimal
1704207092,333.478,77.954,62.748,255.525,-0.000,-15.206,optimal
1704207122,347.180,87.862,74.990,259.318,-0.000,-12.872,optimal
1704207152,347.428,87.975,75.136,259.453,-0.000,-12.839,optimal
1704207182,348.339,89.067,76.641,259.272,-0.000,-12.426,optimal
1704207002,321.041,71.986,55.729,249.055,0.000,-16.257,optimal
1704207032,332.743,78.345,63.129,254.398,-0.000,-15.215,optimal
1704207062,332.811,78.727,63.593,254.084,-0.000,-15.133,optimal
